species,locality,stateProvince,decimalLatitude,decimalLongitude,day,month,year,basisOfRecord,institutionCode
Species 1,Lago de Pátzcuaro,Michoacan de ocampo,19.54,-101.62,23,1,1981,PRESERVED_SPECIMEN,IBUNAM
Species 1,Lake Patzcuaro,Michoacan de ocampo,19.55,-101.616667,15,11,1955,PRESERVED_SPECIMEN,MCZ-HU
Species 1,Lago de Pátzcuaro,Michoacan de ocampo,19.550301,-101.623398,27,1,1956,PRESERVED_SPECIMEN,ENCB-IPN
Species 1,"LAKE PATZCUARO, PATZCUARO",Michoacán,19.5506043,-101.6101623,9,7,1967,PRESERVED_SPECIMEN,CM
Species 1,Lake Patzcuaro,Michoacan,19.5506043,-101.6168295,,,,PRESERVED_SPECIMEN,CAS
Species 1,"Jaracuaro, Lago de Patzcuaro",Michoacan de ocampo,19.556389,-101.676944,5,2,1980,PRESERVED_SPECIMEN,IBUNAM
Species 1,Lago de Pátzcuaro,Michoacan de ocampo,19.558333,-101.625,,,,PRESERVED_SPECIMEN,AMNH
Species 1,"Jaracuaro, Lago de Patzcuaro",Michoacan de ocampo,19.56,-101.68,5,2,1980,PRESERVED_SPECIMEN,IBUNAM
Species 1,Laguna de Isla Janitzio (Lago de Patzcuaro),Michoacan,19.5672704,-101.6501633,7,1,1969,PRESERVED_SPECIMEN,LACM
Species 1,"JANITZIO, ISLA, ALREDEDORES",Michoacan de ocampo,19.575,-101.658333,13,9,1976,PRESERVED_SPECIMEN,FC-UNAM
Species 1,Lago de Pátzcuaro,Michoacan de ocampo,19.591667,-101.643889,,,,PRESERVED_SPECIMEN,FC-UNAM
Species 1,LAKE PATZCUARO,Michoacan,19.62,-101.618333,28,12,1975,PRESERVED_SPECIMEN,UMMZ
Species 1,Laguna de Patzcuaro,Michoacan,19.62,-101.62,19,12,1968,PRESERVED_SPECIMEN,USNM
Species 1,Lago de Pátzcuaro,Michoacan de ocampo,19.628606,-101.661706,,,1870,PRESERVED_SPECIMEN,MADUG-UGTO
Species 1,"LAGO DE PATZCUARO, 3 MI QUIROGA",Michoacan de ocampo,19.641667,-101.491667,,,,PRESERVED_SPECIMEN,AMNH
Species 1,from Lake Patzcuaro,Michoacan,19.6522666,-101.6051626,20,6,1818,PRESERVED_SPECIMEN,MVZ
Species 1,"Laguna de Pátzcuaro, 3 mi from Quiroga",Michoacan de ocampo,19.67,-101.57,,,1960,PRESERVED_SPECIMEN,AMNH
Species 1,"Near E. end Lake Petzcuaro, Michoacan",Michoacan de ocampo,19.69,-101.6,,,1955,PRESERVED_SPECIMEN,FLMNH-UF
Species 2,PÁTZCUARO,Michoacan de ocampo,19.5135,-101.6091,20,7,1971,PRESERVED_SPECIMEN,IBUNAM
Species 2,NO DISPONIBLE,Michoacan de ocampo,19.515,-101.60833,19,1,1985,PRESERVED_SPECIMEN,IBUNAM
Species 2,PÁTZCUARO,Michoacan de ocampo,19.515833,-101.609444,26,1,1955,PRESERVED_SPECIMEN,KU
Species 2,Patzcuaro,Michoacan,19.515938,-101.608867,1,1,1979,PRESERVED_SPECIMEN,MCZ
Species 2,"Patzcuaro, bought in market, caught Ir Lago Patzcuaro",Michoacan de ocampo,19.516667,-101.6,,,1978,PRESERVED_SPECIMEN,FLMNH-UF
Species 2,Patzcuaro,Michoacan,19.5172728,-101.6168293,26,1,1955,PRESERVED_SPECIMEN,KU
Species 2,Patzcuaro,Michoacan,19.519314,-101.6097,16,11,1979,PRESERVED_SPECIMEN,MCZ
Species 2,PATZCUARO,Michoacan,19.52,-101.61,,,1956,PRESERVED_SPECIMEN,UMMZ
Species 2,PÁTZCUARO,Michoacan de ocampo,19.525,-101.625,,,,PRESERVED_SPECIMEN,KU
Species 2,Lago de Pátzcuaro [Lake Peticuaro],Michoacan de ocampo,19.533333,-101.533333,,,,PRESERVED_SPECIMEN,MCZ-HU
Species 2,Lago de Pátzcuaro,Michoacan de ocampo,19.533333,-101.533333,,,1953,PRESERVED_SPECIMEN,AMNH
